행정기관,남자인구수,여자인구수,남자구성비,여자구성비,세대수,세대당인구,데이터기준일
강릉시,103759,105680,49.54,50.46,103682,2.02,2023-12-31
주문진읍,7764,8115,3.71,3.87,8964,1.77,2023-12-31
성산면,1785,1721,0.85,0.82,1776,1.97,2023-12-31
왕산면,821,702,0.39,0.34,887,1.72,2023-12-31
구정면,2144,2096,1.02,1.00,2040,2.08,2023-12-31
강동면,2083,1870,0.99,0.89,2199,1.80,2023-12-31
옥계면,1714,1628,0.82,0.78,1906,1.75,2023-12-31
사천면,2586,2474,1.23,1.18,2738,1.85,2023-12-31
연곡면,3180,3138,1.52,1.50,3331,1.90,2023-12-31
홍제동,7184,7651,3.43,3.65,7069,2.10,2023-12-31
중앙동,2129,2354,1.02,1.12,2698,1.66,2023-12-31
옥천동,1642,1583,0.78,0.76,2027,1.59,2023-12-31
교1동,12381,13021,5.91,6.22,11889,2.14,2023-12-31
교2동,3656,3722,1.75,1.78,3767,1.96,2023-12-31
포남1동,5306,5647,2.53,2.70,5872,1.87,2023-12-31
포남2동,6062,6215,2.89,2.97,6527,1.88,2023-12-31
초당동,2224,2317,1.06,1.11,2316,1.96,2023-12-31
송정동,4684,5098,2.24,2.43,4197,2.33,2023-12-31
내곡동,8306,8127,3.97,3.88,7913,2.08,2023-12-31
강남동,8560,8594,4.09,4.10,8162,2.10,2023-12-31
성덕동,13776,14083,6.58,6.72,12173,2.29,2023-12-31
경포동,5772,5524,2.76,2.64,5231,2.16,2023-12-31
